name,title
COMP 1010,Introductory Computer Science I
COMP 1020,Introductory Computer Science II
MATH 1300,Vector Geometry and Linear Algebra
MATH 1500,Introduction to Calculus
MATH 1700,Calculus II
COMP 2080,Analysis of Algorithms
COMP 2140,Data Structures and Algorithms
COMP 2150,Object Orientation
COMP 2160,Programming Practices
COMP 2280,Introduction to Computer Systems
STAT 1000,Basic Statistical Analysis
MATH 1240,Elementary Discrete Mathematics
COMP 3030,Automata Theory and Formal Languages
COMP 3170,Analysis of Algorithms and Data Structures
COMP 3430,Operating Systems
COMP 3370,Computer Organization
COMP 3350,Software Engineering
COMP 4620,Professional Practice in Computer Science
